id,username,nickname,phone,email,password_hash,gender,birth_date,height_cm,weight_kg,avatar_url,city,hometown,marital_status,has_children,accept_long_distance,is_active,is_verified,created_at,updated_at
1,user00001,小王同学,13796233790,user00001@example.com,$2b$12$examplehash,female,1996-04-05,156,78.8,https://img.example.com/avatars/1.jpg,Xi'an,Shanghai,single,0,1,1,1,2025-07-15 09:27:13,2025-07-15 09:27:13
2,user00002,小吴同学,13602632297,user00002@example.com,$2b$12$examplehash,male,1986-07-08,178,74.5,https://img.example.com/avatars/2.jpg,Beijing,Guangzhou,widowed,0,1,1,1,2025-07-29 09:27:13,2025-07-29 09:27:13
3,user00003,小王同学,13407943839,user00003@example.com,$2b$12$examplehash,male,1992-06-20,166,85.4,https://img.example.com/avatars/3.jpg,Nanjing,Xi'an,single,0,1,1,1,2025-09-04 09:27:13,2025-09-04 09:27:13
4,user00004,小赵同事,13756528252,user00004@example.com,$2b$12$examplehash,male,2002-11-08,168,94.3,https://img.example.com/avatars/4.jpg,Shenzhen,Shanghai,single,0,1,1,0,2025-07-06 09:27:13,2025-07-06 09:27:13
5,user00005,小赵朋友,13224956459,user00005@example.com,$2b$12$examplehash,female,2001-10-21,160,71.7,https://img.example.com/avatars/5.jpg,Shenzhen,Guangzhou,single,0,1,1,0,2025-09-12 09:27:13,2025-09-12 09:27:13
6,user00006,小吴同事,13735098955,user00006@example.com,$2b$12$examplehash,female,2002-04-27,152,85.3,https://img.example.com/avatars/6.jpg,Wuhan,Chengdu,single,0,0,1,1,2025-07-26 09:27:13,2025-07-26 09:27:13
7,user00007,小李伙伴,13424806516,user00007@example.com,$2b$12$examplehash,female,1999-05-05,165,82.2,https://img.example.com/avatars/7.jpg,Xi'an,Chengdu,single,0,1,1,1,2025-08-01 09:27:13,2025-08-01 09:27:13
8,user00008,小李同事,13547099690,user00008@example.com,$2b$12$examplehash,female,2001-01-28,157,52.6,https://img.example.com/avatars/8.jpg,Guangzhou,Tianjin,single,0,1,1,1,2025-08-14 09:27:13,2025-08-14 09:27:13
9,user00009,小吴朋友,13594021782,user00009@example.com,$2b$12$examplehash,male,2000-11-18,167,83.4,https://img.example.com/avatars/9.jpg,Hangzhou,Shanghai,single,0,1,1,1,2025-07-19 09:27:13,2025-07-19 09:27:13
10,user00010,小吴同事,13545119047,user00010@example.com,$2b$12$examplehash,male,1994-11-17,188,54.9,https://img.example.com/avatars/10.jpg,Hangzhou,Guangzhou,widowed,0,0,1,0,2025-08-31 09:27:13,2025-08-31 09:27:13
11,user00011,小赵伙伴,13020912992,user00011@example.com,$2b$12$examplehash,male,1992-05-08,153,57.0,https://img.example.com/avatars/11.jpg,Suzhou,Shanghai,single,0,0,1,0,2025-08-23 09:27:13,2025-08-23 09:27:13
